"Story","Title","Result","Date","Stability","Duration (s)"
"Store tags test","Provide HTTP method is used to access resource","SUCCESS","2023-01-08T12:32:27.857Z[Europe/London]","0.0","8.23"
"Store tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-08T12:32:36.121Z[Europe/London]","0.0","0.65"
